id,podcast_id,title,audio,audio_length,description,pub_date
1,1,"The Mandarian Orange Show Episode 74- Bad Hammer Time, or: 30 Day MoviePass Challenge Part 3",http://archive.org/download/mandarian-orange-show-episode-74/mandarian-orange-show-episode-74.mp3,2739,"<p><img data-attachment-id=""360"" data-permalink=""http://www.janelleandphil.com/2017/12/01/the-mandarian-orange-show-episode-74-bad-hammer-time-or-30-day-moviepass-challenge-part-3/mandarian-74/"" data-orig-file=""https://i0.wp.com/www.janelleandphil.com/wp-content/uploads/2017/12/mandarian-74.jpg?fit=1080%2C1080"" data-orig-size=""1080,1080"" data-comments-opened=""1"" data-image-meta=""{&quot;aperture&quot;:&quot;0&quot;,&quot;credit&quot;:&quot;&quot;,&quot;camera&quot;:&quot;&quot;,&quot;caption&quot;:&quot;&quot;,&quot;created_timestamp&quot;:&quot;0&quot;,&quot;copyright&quot;:&quot;&quot;,&quot;focal_length&quot;:&quot;0&quot;,&quot;iso&quot;:&quot;0&quot;,&quot;shutter_speed&quot;:&quot;0&quot;,&quot;title&quot;:&quot;&quot;,&quot;orientation&quot;:&quot;1&quot;}"" data-image-title=""mandarian 74"" data-image-description="""" data-medium-file=""https://i0.wp.com/www.janelleandphil.com/wp-content/uploads/2017/12/mandarian-74.jpg?fit=300%2C300"" data-large-file=""https://i0.wp.com/www.janelleandphil.com/wp-content/uploads/2017/12/mandarian-74.jpg?fit=530%2C530"" src=""https://i0.wp.com/www.janelleandphil.com/wp-content/uploads/2017/12/mandarian-74.jpg?resize=300%2C300"" alt="""" class=""alignnone size-medium wp-image-360"" srcset=""https://i0.wp.com/www.janelleandphil.com/wp-content/uploads/2017/12/mandarian-74.jpg?resize=300%2C300 300w, https://i0.wp.com/www.janelleandphil.com/wp-content/uploads/2017/12/mandarian-74.jpg?resize=150%2C150 150w, https://i0.wp.com/www.janelleandphil.com/wp-content/uploads/2017/12/mandarian-74.jpg?resize=768%2C768 768w, https://i0.wp.com/www.janelleandphil.com/wp-content/uploads/2017/12/mandarian-74.jpg?resize=1024%2C1024 1024w, https://i0.wp.com/www.janelleandphil.com/wp-content/uploads/2017/12/mandarian-74.jpg?w=1080 1080w"" sizes=""(max-width: 300px) 100vw, 300px"" data-recalc-dims=""1"" /></p>
<p>In this episode, Phil and Janelle talk about the next movies in the 30 Day MoviePass Challenge!  They also discuss Thanksgiving, Back to the Future, a really bad movie, Tom Cruise, Lyndon B Johnson, Laughlin, bad construction timing, and more.</p>",2017-12-01 00:09:47+00
2,2,Finding yourself in the character by justifying your actions,http://reallifeactor.podomatic.com/enclosure/2017-11-30T19_09_56-08_00.mp3,1875,"<img src=""http://assets.podomatic.net/ts/ee/8d/9e/jeff62500/1400x1400_12508930.jpg"" alt=""itunes pic"" /><br />The best way to find authenticity in characters outside of your wheelhouse. Powerful stuff.",2017-12-01 03:09:56+00
